Week #,Start,End,CSP,NTID,Engineer,Email,Mobile
1.0,2024-01-05,2024-01-12,Azure,cbiggs,Clyde Biggs,cbiggs@gmail.com,867-5309
,,,AWS,asmalls,Allan Smalls,asmalls@gmail.com,777-7777
2.0,2024-01-12,2024-01-19,Azure,gskills,Gary Skills,gskills@gmail.com,555-5555
,,,AWS,rcoder,Robert Coder,rcoder@gmail.com,333-3333
3.0,2024-01-19,2024-01-26,Azure,bcloud,Betty Cloud,bcloud@gmail.com,222-2222
,,,AWS,tground,Timmy Ground,tground@gmail.com,444-4444
4.0,2024-01-26,2024-02-02,Azure,srain,Scott Rain,srain@gmail.com,888-8888
,,,AWS,fcamp,Frank Camp,fcamp@gmail.com,999-9999
5.0,2024-02-02,2024-02-09,Azure,sshed,Shohei Shed,sshed@gmail.com,111-1232
,,,AWS,pgrass,Piyali Grass,pgrass@gmail.com,444-5555
6.0,2024-02-09,2024-02-16,Azure,lwater,Tyson Water,twater@gmail.com,555-6666
,,,AWS,kquake,Kate Quake,kquake@gmail.com,666-7777
7.0,2024-02-16,2024-02-23,Azure,inails,Ismail Nails,inails@gmail.com,888-9999
,,,AWS,erobot,Ed Robot,erobot@gmail.com,111-2222
8.0,2024-02-23,2024-03-01,Azure,wdog,Walker Dog,wdog@gmail.com,111-3333
,,,AWS,zchair,Zero Chair,zchair@gmail.com,444-3333
9.0,2024-03-01,2024-03-08,Azure,cbiggs,Clyde Biggs,cbiggs@gmail.com,867-5309
,,,AWS,asmalls,Allan Smalls,asmalls@gmail.com,777-7777
10.0,2024-03-08,2024-03-15,Azure,gskills,Gary Skills,gskills@gmail.com,555-5555
,,,AWS,rcoder,Robert Coder,rcoder@gmail.com,333-3333
11.0,2024-03-15,2024-03-22,Azure,bcloud,Betty Cloud,bcloud@gmail.com,222-2222
,,,AWS,tground,Timmy Ground,tground@gmail.com,444-4444
12.0,2024-03-22,2024-03-29,Azure,srain,Scott Rain,srain@gmail.com,888-8888
,,,AWS,fcamp,Frank Camp,fcamp@gmail.com,999-9999
13.0,2024-03-29,2024-04-05,Azure,sshed,Shohei Shed,sshed@gmail.com,111-1232
,,,AWS,pgrass,Piyali Grass,pgrass@gmail.com,444-5555
14.0,2024-04-05,2024-04-12,Azure,lwater,Tyson Water,twater@gmail.com,555-6666
,,,AWS,kquake,Kate Quake,kquake@gmail.com,666-7777
15.0,2024-04-12,2024-04-19,Azure,inails,Ismail Nails,inails@gmail.com,888-9999
,,,AWS,erobot,Ed Robot,erobot@gmail.com,111-2222
